lookback,z_entry,z_exit,total_ret_pct,annual_ret_pct,max_dd_pct,sharpe,n_trades,win_rate_pct,payoff_ratio,final_balance
180,2.0,0.5,4.27,5.41,-0.38,2.571,12,83.3,2.6,3128060
180,2.0,0.3,4.74,6.01,-0.24,2.566,10,80.0,10.26,3142212
180,1.5,0.3,3.42,4.33,-0.48,2.173,12,83.3,1.49,3102569
180,2.0,0.8,3.04,3.84,-0.74,1.976,12,83.3,1.05,3091110
180,1.5,0.5,2.54,3.21,-0.62,1.88,15,80.0,1.29,3076232
120,2.0,0.3,2.33,2.94,-0.57,1.645,12,75.0,1.57,3069792
120,2.5,0.3,1.17,1.48,-0.26,1.43,5,80.0,3.22,3035099
60,2.5,0.8,1.27,1.6,-0.43,1.394,11,63.6,2.4,3038047
120,2.0,0.5,1.62,2.05,-0.79,1.26,13,69.2,1.59,3048746
120,2.5,0.8,0.93,1.18,-0.32,1.221,5,80.0,1.95,3027973
120,1.5,0.3,1.88,2.38,-1.07,1.208,18,77.8,0.81,3056450
120,2.0,0.8,1.15,1.45,-1.16,1.104,14,71.4,1.27,3034498
60,2.5,0.3,1.07,1.34,-0.88,1.078,11,72.7,1.1,3031968
90,2.5,0.8,0.96,1.21,-0.87,0.912,9,77.8,0.94,3028826
120,2.5,0.5,0.63,0.79,-0.48,0.857,5,80.0,0.96,3018872
180,2.5,0.3,0.19,0.24,-0.07,0.812,2,100.0,,3005595
60,2.5,0.5,0.66,0.83,-0.88,0.804,11,72.7,0.94,3019825
180,1.5,0.8,0.97,1.22,-0.99,0.752,15,80.0,0.62,3029063
90,1.5,0.3,1.16,1.46,-1.77,0.691,24,75.0,0.59,3034692
120,1.5,0.5,0.86,1.09,-1.16,0.553,19,78.9,0.53,3025846
90,2.0,0.3,0.77,0.97,-1.62,0.505,15,60.0,1.14,3022975
90,2.0,0.8,0.52,0.65,-1.88,0.498,18,61.1,1.21,3015584
90,2.5,0.3,0.35,0.44,-0.54,0.417,9,77.8,0.66,3010504
90,1.5,0.8,-0.08,-0.11,-2.32,0.127,30,73.3,0.56,2997459
90,2.0,0.5,-0.37,-0.46,-1.96,-0.112,15,60.0,0.81,2988965
60,2.0,0.8,-0.56,-0.71,-1.49,-0.14,26,61.5,0.92,2983133
90,2.5,0.5,-0.15,-0.19,-0.83,-0.176,9,66.7,0.75,2995466
90,1.5,0.5,-0.71,-0.89,-2.01,-0.189,24,75.0,0.41,2978821
120,1.5,0.8,-0.79,-0.99,-1.86,-0.533,22,72.7,0.47,2976382
180,2.5,0.5,-0.06,-0.08,-0.07,-0.556,2,100.0,,2998193
60,2.0,0.3,-2.01,-2.53,-2.55,-1.218,19,52.6,0.68,2939606
60,1.5,0.3,-2.96,-3.71,-3.05,-1.231,27,59.3,0.53,2911321
60,2.0,0.5,-2.26,-2.84,-2.65,-1.274,21,52.4,0.69,2932132
60,1.5,0.5,-3.85,-4.83,-3.45,-1.636,30,60.0,0.45,2884370
60,1.5,0.8,-3.72,-4.66,-3.53,-1.79,39,61.5,0.5,2888491
180,2.5,0.8,-0.54,-0.68,-0.54,-1.855,2,0.0,,2983762
