lookback,z_entry,z_exit,total_ret_%,annual_ret_%,max_dd_%,sharpe,n_trades,win_rate_%,payoff_ratio,final_balance
180,2.0,0.5,12.81,16.4,-1.09,2.571,12,83.3,2.6,564030
180,2.0,0.3,14.22,18.24,-0.69,2.566,10,80.0,10.26,571106
180,1.5,0.3,10.26,13.09,-1.39,2.186,12,83.3,1.49,551285
180,2.0,0.8,9.11,11.61,-2.17,1.981,12,83.3,1.05,545555
180,1.5,0.5,7.62,9.7,-1.81,1.89,15,80.0,1.29,538116
120,2.0,0.3,6.98,8.87,-1.64,1.661,12,75.0,1.57,534896
120,2.5,0.3,3.51,4.44,-0.79,1.429,5,80.0,3.22,517550
60,2.5,0.8,4.25,5.38,-1.26,1.398,11,63.6,2.4,521252
120,2.0,0.5,4.87,6.18,-2.28,1.281,13,69.2,1.59,524373
120,1.5,0.3,5.65,7.16,-3.07,1.231,18,77.8,0.81,528225
120,2.5,0.8,2.8,3.54,-0.94,1.226,5,80.0,1.95,513987
120,2.0,0.8,3.45,4.37,-3.33,1.129,14,71.4,1.27,517249
60,2.5,0.3,3.64,4.61,-2.55,1.098,11,72.7,1.1,518213
60,3.0,0.8,2.25,2.85,-0.71,1.08,3,66.7,5.18,511270
180,3.0,0.3,1.76,2.23,-0.2,1.002,1,100.0,,508825
180,3.0,0.5,1.44,1.82,-0.2,0.977,1,100.0,,507210
180,3.0,0.8,1.1,1.39,-0.2,0.937,1,100.0,,505503
90,2.5,0.8,2.87,3.63,-2.55,0.929,9,77.8,0.94,514351
120,3.0,0.5,0.94,1.18,-0.2,0.908,1,100.0,,504683
120,3.0,0.3,0.94,1.18,-0.2,0.908,1,100.0,,504683
120,2.5,0.5,1.89,2.38,-1.43,0.858,5,80.0,0.96,509436
60,3.0,0.3,1.44,1.81,-0.66,0.848,3,66.7,2.67,507188
60,2.5,0.5,2.43,3.07,-2.58,0.821,11,72.7,0.94,512141
180,2.5,0.3,0.56,0.71,-0.2,0.813,2,100.0,,502797
90,3.0,0.5,0.55,0.69,-0.2,0.791,1,100.0,,502739
90,3.0,0.3,0.55,0.69,-0.2,0.791,1,100.0,,502739
180,1.5,0.8,2.91,3.68,-2.92,0.767,15,80.0,0.62,514531
60,3.0,0.5,1.11,1.4,-0.66,0.754,3,66.7,2.32,505549
90,1.5,0.3,4.34,5.5,-5.06,0.726,24,75.0,0.59,521706
90,3.0,0.8,0.29,0.37,-0.2,0.614,1,100.0,,501469
120,1.5,0.5,2.58,3.27,-3.42,0.575,19,78.9,0.53,512923
90,2.0,0.3,2.74,3.47,-4.66,0.535,15,60.0,1.14,513716
90,2.0,0.8,2.0,2.53,-5.41,0.522,18,61.1,1.21,510021
90,2.5,0.3,1.04,1.31,-1.59,0.427,9,77.8,0.66,505190
120,3.0,0.8,0.1,0.12,-0.2,0.3,1,100.0,,500482
90,1.5,0.8,0.62,0.78,-6.78,0.15,30,73.3,0.56,503089
90,2.0,0.5,-0.66,-0.83,-5.72,-0.092,15,60.0,0.81,496711
60,2.0,0.8,-0.58,-0.73,-4.42,-0.124,26,61.5,0.92,497098
90,2.5,0.5,-0.47,-0.59,-2.47,-0.165,9,66.7,0.75,497670
90,1.5,0.5,-1.25,-1.57,-5.89,-0.166,24,75.0,0.41,493770
120,1.5,0.8,-2.36,-2.97,-5.48,-0.519,22,72.7,0.47,488191
180,2.5,0.5,-0.18,-0.23,-0.2,-0.555,2,100.0,,499097
60,2.0,0.3,-4.93,-6.18,-7.57,-1.213,19,52.6,0.68,475334
60,1.5,0.3,-7.2,-8.98,-9.07,-1.219,27,59.3,0.53,464009
60,2.0,0.5,-5.68,-7.1,-7.87,-1.267,21,52.4,0.69,471597
60,1.5,0.5,-9.89,-12.3,-10.35,-1.623,30,60.0,0.45,450534
60,1.5,0.8,-9.48,-11.8,-10.6,-1.766,39,61.5,0.5,452594
180,2.5,0.8,-1.62,-2.04,-1.62,-1.857,2,0.0,0.0,491881
